Processo,Modalidade,,,Nro. Modalidade,Abertura,,,,Situação,Objeto,,
31/2014,DISPENSA DE LICITAÇÃO,11,29-01-2014 12:30,,31-01-2014,Encerrado,"Aquisição de materiais hospitalares para a paciente Emanuelle de Oliveira Silva, conforme determinação de Ação Judicial nº 0032485-33.2013-8.13-0528.",,,,,
11/2014,PREGÃO PRESENCIAL,5,29-01-2014 08:30,,14-01-2014,Encerrado,Aquisição de materiais de construção e elétrico para atender famílias carentes do município de Prata.,,,,,
30/2014,INEXIGIBILIDADE DE LICITAÇÃO,2,28-01-2014 16:00,,05-02-2014,Encerrado,"Contratação de escritor Mário Lara Leite, para escrever um livro ""204 Anos da História de Prata (1810 a 2014)"".",,,,,
8/2014,TOMADA DE PREÇOS,1,28-01-2014 08:30,,13-01-2014,Encerrado,"Contratação da empresa para execução de obras/serviços de engenharia para reforma da Unidade de Atenção Primária a Saúde Bela Vista, situada à Rua Franklin Machado Oliveira, nº 29, Bairro Bela Vista, na cidade de Prata-MG, conforme Portarias nº 341 de 04/03/2013 e nº 1.382 de 09/07/2013, do Ministério da Saúde.",,,,,
28/2014,DISPENSA DE LICITAÇÃO,10,27-01-2014 16:30,,28-01-2014,Encerrado,"Locação de um caminhão placa HDI-9854 e reboque prancha placa OFD-0576 para transporte de máquina Caterpilar, da cidade de Juiz de Fora para o município de Prata-MG, incluso, por conta do locador, as despesas com motorista, combustível e manutenção do veículo, para atender as necessidades do Departamento de Assistência Rural.",,,,,
9/2014,PREGÃO PRESENCIAL,4,27-01-2014 08:30,,13-01-2014,Encerrado,Contratação de seguros para os veículos da frota do município de Prata-MG.,,,,,
25/2014,DISPENSA DE LICITAÇÃO,9,24-01-2014 16:00,,27-01-2014,Encerrado,"Aquisição de suplemento alimentar para a paciente Camille Bianca Eulálio Souza, conforme determinação de Ação Judicial nº 0030869-23.2013.8.13.0528.",,,,,
7/2014,PREGÃO - REGISTRO DE PREÇO,1,24-01-2014 08:30,,13-01-2014,Encerrado,Registro de preços para futura e eventual aquisição de gêneros alimentícios para suprir as necessidades dos Departamentos da Prefeitura Municipal de Prata.,,,,,
23/2014,DISPENSA DE LICITAÇÃO,8,23-01-2014 16:00,,27-01-2014,Encerrado,Aquisição de suplemento alimentar para o Sr. Matheus Alves de Oliveira para cumprimento de Ação Civil Pública nº  0528.13.000359-3. ,,,,,
6/2014,PREGÃO PRESENCIAL,3,23-01-2014 08:30,,10-01-2014,Encerrado,Aquisição de 300 (trezentas) cestas básicas de produtos alimentícios para atendimento as pessoas carentes do Município de Prata.,,,,,
19/2014,DISPENSA DE LICITAÇÃO,7,22-01-2014 12:30,,24-01-2014,Encerrado,"Contratação de empresa prestadora de serviços médicos para realização de cirurgia de correção de crânio do menor A. B. R., para cumprimento de Determinação Judicial nº 0000639-61.2014.8.13.0528.",,,,,
3/2014,PREGÃO PRESENCIAL,2,21-01-2014 08:30,,08-01-2014,Encerrado,"Aquisição de água mineral, recipiente para gás e recarga de gás GLP de 13 Kg para suprir as necessidades dos Departamentos da Prefeitura Municipal de Prata-MG.",,,,,
18/2014,DISPENSA DE LICITAÇÃO,6,17-01-2014 14:00,,20-01-2014,Encerrado,Aquisição de medicamento para a paciente Sueli de Fátima Ferreira Silva para cumprimento de Ação Civil Pública nº 0020472-02.2013.8.13.0528.,,,,,
1/2014,PREGÃO PRESENCIAL,1,17-01-2014 08:30,,07-01-2014,Encerrado,"Contratação de pessoa jurídica especializada, visando à locação de veículos para serviços de transporte escolar (municipal), atendendo as necessidades da Secretaria de Educação deste Município.",,,,,
14/2014,DISPENSA DE LICITAÇÃO,5,14-01-2014 14:35,,15-01-2014,Encerrado,Contratação de empresa para execução de serviços de manutenção corretiva da ,,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 12 de, 13,,,
,,,,,,,"Processadora de Raio X, marca Vision, modelo Line LX-2, nº de Patrimônio 10045, utilizado no (PAM) Pronto Atendimento Municipal.",,,,,
13/2014,INEXIGIBILIDADE DE LICITAÇÃO,1,14-01-2014 12:30,,15-01-2014,Encerrado,"Aquisição de exemplares para serem usados nos projetos desenvolvidos na brinquedoteca e grupos de convivência, promovido pelo CRAS - Centro de Referência de Assistência Social.",,,,,
5/2014,DISPENSA DE LICITAÇÃO,3,09-01-2014 14:30,,13-01-2014,Encerrado,"Contratação de empresa especializada para execução de serviços de manutenção em bomba d'água do poço artesiano do Distrito do Patrimônio do Rio do Peixe, no município de Prata-MG.",,,,,
4/2014,DISPENSA DE LICITAÇÃO,2,08-01-2014 08:30,,13-01-2014,Encerrado,"Aquisição de peças novas e serviços de mão de obra mecânica para revisão de garantia de 45.000 km do veículo Pas/Microônibus, Marca/Modelo Citroen/Jumper M33M 236, ano 2013, modelo 2013, placa OPV-9931, a serviço da Atenção Especializada da Saúde.",,,,,
2/2014,DISPENSA DE LICITAÇÃO,1,06-01-2014 16:00,,08-01-2014,Encerrado,Aquisição de medicamento para o paciente Edgar Costa Santos para cumprimento de Ação Civil Pública nº 140297320134013803.,,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 13 de, 13,,,
240/2018,PREGÃO PRESENCIAL,,,70,18-01-2019 08:30,,,18-12-2018,Deserto,"Aquisição de brinquedos para atender ao objeto: Estruturação da Rede de Serviços de Proteção Social Especial, conforme Convênio de nº 840326/2016, firmado entre o Ministério de Desenvolvimento Social - MDS e a Prefeitura Municipal de Prata-MG.",,
235/2018,PREGÃO PRESENCIAL,,,68,14-01-2019 13:30,,,13-12-2018,Encerrado,"Aquisição de materiais de papelaria para atender ao objeto: Estruturação da Rede de Serviços de Proteção Social Especial, conforme Convênio de nº 840326/2016, firmado entre o Ministério de Desenvolvimento Social - MDS e a Prefeitura Municipal de Prata-MG.",,
242/2018,PREGÃO PRESENCIAL,,,72,14-01-2019 08:30,,,24-12-2018,Fracassado,"Aquisição de materiais de cama, mesa e banho, para atender ao objeto: Estruturação da Rede de Serviços de Proteção Social Especial, conforme Convênio de nº 840326/2016, firmado entre o Ministério de Desenvolvimento Social - MDS e a Prefeitura Municipal de Prata-MG.",,
227/2018,CONCORRENCIA PÚBLICA,,,3,10-01-2019 08:30,,,26-11-2018,Encerrado,"Outorga de permissão, para a prestação dos serviços de transporte individual de passageiros, em veículos de categoria aluguel, na modalidade táxi, no Município de Prata - MG.",,
238/2018,CONCORRENCIA PÚBLICA,,,4,03-01-2019 08:30,,,03-12-2018,Encerrado,"Contratação de empresa especializada para execução de obra de engenharia, visando à construção de Creche Escolar do Programa Pró-Infância, Tipo 01, situada à Rua Manoel Nunes, nº 30, Bairro Rodoviário, conforme Termo de Compromisso PAC2 - 4052/2013, celebrado entre o Fundo Nacional de Desenvolvimento da Educação - FNDE e o Município de Prata/MG.",,
247/2018,PREGÃO PRESENCIAL,,,75,28-12-2018 13:30,,,14-12-2018,Encerrado,"Contratação de pessoa jurídica para organização e realização do evento ""CARNAPRATA 2019"", no período de 01 a 05 de março de 2019, com exploração comercial da área destinada ao evento, na cidade de Prata/MG.",,
246/2018,PREGÃO PRESENCIAL,,,74,28-12-2018 08:30,,,14-12-2018,Encerrado,"Aquisição de combustíveis para manutenção da frota de veículos e máquinas da Prefeitura Municipal de Prata-MG, no exercício de 2019.",,
244/2018,PREGÃO PRESENCIAL,,,73,27-12-2018 08:30,,,13-12-2018,Encerrado,"Aquisição de materiais de higiene pessoal, para atender ao objeto: Estruturação da Rede de Serviços de Proteção Social Especial, conforme Convênio de nº 840326/2016, firmado entre o Ministério de Desenvolvimento Social - MDS e a Prefeitura Municipal de Prata-MG.",,
255/2018,DISPENSA DE LICITAÇÃO,,,120,26-12-2018 16:00,,,27-12-2018,Encerrado,"Aquisição de suplemento alimentar para o paciente Paulo Henrique dos Santos, conforme determinação de Ação Civil Pública nº 0029807-40.2016.8.13.0528.",,
254/2018,DISPENSA DE LICITAÇÃO,,,119,26-12-2018 13:00,,,27-12-2018,Encerrado,"Aquisição de suplemento alimentar para a paciente Katariny Aparecida Tirone Lopes, conforme determinação de Ação Civil Pública nº 0022832-31.2018.8.13.0528.",,
253/2018,DISPENSA DE LICITAÇÃO,,,118,26-12-2018 09:00,,,27-12-2018,Encerrado,"Aquisição de suplemento alimentar para a paciente Camille Bianca Eulálio Souza, conforme determinação de Ação Civil Pública nº 0030869-23.2013.8.13.0528.",,
252/2018,INEXIGIBILIDADE DE LICITAÇÃO,,,14,20-12-2018 14:00,,,21-12-2018,Encerrado,"Contratação de empresa para realização de show artístico com ""Checão e Banda"", para apresentação artística musical com início na noite do dia 31 de dezembro de 2018 e término na madrugada de 01 de Janeiro de 2019, durante as festividades em comemoração do ""Reveillon 2019"".",,
251/2018,DISPENSA DE LICITAÇÃO,,,117,19-12-2018 08:30,,,20-12-2018,Encerrado,"Contratação de pessoa física do tipo Engenheiro Agrônomo, para elaboração de 03 (três) Projetos Técnicos de Reconstituição da Flora das seguintes áreas degradadas: 1 (uma) área de ligação da Rua Major Carvalho com a Rua Orozimbo Costa, a nascente do córrego que fornece água ao Povoado de Monjolinho e uma área de aterro localizada na Rua Raul Soares no Bairro Colina Park, na cidade de Prata - MG, para atender a determinação do Ministério Público, em cumprimento de TAC.",,
250/2018,DISPENSA DE LICITAÇÃO,,,116,17-12-2018 16:00,,,18-12-2018,Encerrado,"Aquisição de medicamento excepcional para o paciente Waldemar Divino de Freitas, conforme determinação de Ação Civil Pública nº 0005860-83.2018.8.13.0528.",,
249/2018,DISPENSA DE LICITAÇÃO,,,115,17-12-2018 14:00,,,18-12-2018,Encerrado,"Contratação de empresa especializada prestadora de serviços médico-hospitalares para realização de procedimento de oxigenoterapia hiperbárica (25 sessões) para a paciente Maria Luzimar Vieira de Souza, conforme determinação de Ação Civil Pública nº 0017030-52.2018.8.13.0528.",,
241/2018,PREGÃO PRESENCIAL,,,71,17-12-2018 13:30,,,05-12-2018,Encerrado,"Aquisição de materiais de limpeza para atender ao objeto: Estruturação da Rede de Serviços de Proteção Social Especial, conforme Convênio de nº 840326/2016, firmado entre o Ministério de Desenvolvimento Social - MDS e a Prefeitura Municipal de Prata-MG.",,
Exercício: 2021,,,,,,,República Federativa do Brasil,,,,Página: 1 de,14.0
248/2018,DISPENSA DE LICITAÇÃO,114,17-12-2018 09:00,,18-12-2018,Encerrado,"Aquisição de medicamento excepcional para a paciente Ieda de Andrade Oliveira, conforme determinação de Ação Civil Pública nº 0009698-34.2018.8.13.0528.",,,,,
239/2018,PREGÃO PRESENCIAL,69,14-12-2018 08:30,,04-12-2018,Encerrado,"Contratação de empresa para realização de evento destinado a comemoração do ""Réveillon 2018"", no dia 31 de Dezembro de 2018, com início previsto às 21:00 horas e término às 05:00 horas do dia 01º de Janeiro de 2019, na Praça XV de Novembro, Centro, Prata - MG.",,,,,
245/2018,DISPENSA DE LICITAÇÃO,113,13-12-2018 10:00,,14-12-2018,Encerrado,"Aquisição de suplemento alimentar para o paciente José da Costa Machado, conforme determinação de Ação Civil Pública nº 0001356-34.2018.8.13.0528.",,,,,
243/2018,INEXIGIBILIDADE DE LICITAÇÃO,13,12-12-2018 14:00,,13-12-2018,Encerrado,"Contratação de empresa para realização de show artístico com a ""Banda Cultura Negra e com a ""Dupla Renato e Cristiano"", para apresentações artísticas musicais com início na noite do dia 31 de dezembro de 2018 e término na madrugada de 01 de Janeiro de 2019, durante as festividades em comemoração do ""Reveillon 2019"", na Praça XV de Novembro, Centro, Prata - MG.",,,,,
234/2018,PREGÃO PRESENCIAL,67,12-12-2018 08:30,,29-11-2018,Encerrado,"Contratação de empresa especializada para prestação de serviços, com fornecimento de material e mão de obra necessária, de confecção e instalação de prolongamento em prateleiras metálicas e suportes metálicos para atender as necessidades da Biblioteca Pública Municipal Prata-MG.",,,,,
228/2018,TOMADA DE PREÇOS,6,11-12-2018 08:30,,26-11-2018,Encerrado,"Contratação de empresa especializada para obras/serviços de engenharia para troca de telhado da Escola Municipal da Vila Vicentina, na cidade de Prata-MG.",,,,,
226/2018,PREGÃO PRESENCIAL,66,05-12-2018 08:30,,23-11-2018,Encerrado,"Contratação de empresa prestadora de serviços de locação de um veículo do tipo caminhão prancha, com capacidade de carga para no mínimo 12 toneladas, para transporte de um Kit Patrulha Mecanizada, composto de um trator traçado 4 x 4, uma grade e uma carreta, da cidade de Belo Horizonte-MG até a cidade de Prata-MG, perfazendo uma distância aproximada de 1.300 km, incluindo todas as despesas necessárias para o transporte tais como combustível, equipamentos necessários, operadores qualificados para operar o mesmo, impostos e pedágios, atendendo as necessidades da Secretaria de Agricultura e Assistência Rural.",,,,,
237/2018,DISPENSA DE LICITAÇÃO,112,29-11-2018 16:00,,30-11-2018,Encerrado,Aquisição de medicamento excepcional para o paciente Edgar Costa Santos conforme determinação de Ação Civil Pública nº 14029-73.2013.4.01.3803.,,,,,
222/2018,PREGÃO PRESENCIAL,65,29-11-2018 13:00,,16-11-2018,Encerrado,Aquisição de materiais elétricos e materiais de decoração para confecção de enfeites natalinos para ornamentação da Praça XV de Novembro.,,,,,
236/2018,DISPENSA DE LICITAÇÃO,111,29-11-2018 10:00,,30-11-2018,Encerrado,"Contratação de empresa prestadora de serviços médico-hospitalares para realização de procedimento de aplicação intra-ocular (em ambos os olhos) do medicamento RANIBIZUMABE - LUCENTIS (medicamento incluso), para a paciente Maria Abadia Pereira de Souza, conforme determinação de Ação Civil Pública nº 0000400-52.2017.8.13.0528.",,,,,
221/2018,PREGÃO PRESENCIAL,64,29-11-2018 08:30,,16-11-2018,Encerrado,"Aquisição de uma motosserra para manutenção de pontes e mata-burros, para Secretaria de Agricultura e Assistência Rural.
",,,,,
233/2018,DISPENSA DE LICITAÇÃO,110,28-11-2018 15:00,,29-11-2018,Encerrado,"Contratação de empresa prestadora de serviços médico-hospitalares para realização de procedimento cirúrgico de IMPLANTE DE VÁLVULA ANTI-GLAUCOMATOSA EM OLHO DIREITO, incluso também Internação Hospitalar, a Anestesia Endovenosa Bloco Regional e todos os materiais e serviços necessários para a realização desse procedimento cirúrgico, para o  paciente Valmir Aparecido Bento da Silva, conforme determinação de Ação Civil Pública nº 0020067-87.2018.8.13.0528.",,,,,
232/2018,DISPENSA DE LICITAÇÃO,109,28-11-2018 13:30,,29-11-2018,Encerrado,"Contratação de empresa prestadora de serviços médico-hospitalares para realização de procedimento de aplicação intra-ocular (em ambos olhos) do medicamento Lucentis (medicamento incluso) para o paciente Valmir Aparecido Bento da Silva, conforme determinação de Ação Civil Pública nº 0000382-94.2018.8.13.0528.",,,,,
231/2018,DISPENSA DE LICITAÇÃO,108,28-11-2018 10:00,,29-11-2018,Encerrado,"Contratação de clínica especializada para prestação de serviços referente à internação para tratamento de dependência química para o paciente Kaique Silva Feliciano, conforme determinação de Ação Sumária com Pedido Urgente de Antecipação de Tutela nº 0528-18.001254-4.",,,,,
220/2018,PREGÃO PRESENCIAL,63,28-11-2018 08:30,,14-11-2018,Encerrado,"Aquisição de materiais esportivos e de artesanato para serem usados no ""Projeto MPT 2018"", pela Secretaria de Educação.",,,,,
219/2018,PREGÃO - REGISTRO DE PREÇO,32,27-11-2018 08:30,,13-11-2018,Encerrado,Registro de Preço para futura e eventual prestação de serviços de borracharia para atender as demandas dos veículos das diversas Secretarias do Município de Prata-MG.,,,,,
230/2018,DISPENSA DE LICITAÇÃO,107,26-11-2018 13:00,,27-11-2018,Encerrado,"Contratação de empresa prestadora de serviços médico-hospitalares para realização de procedimento de aplicação intra-ocular (em olho direito) do medicamento Lucentis (medicamento não incluso) para a paciente Aurora Barbosa Ferreira, conforme determinação de Ação Civil Pública nº 0005894-58.2018.8.13.0528.",,,,,
229/2018,DISPENSA DE LICITAÇÃO,106,26-11-2018 08:30,,27-11-2018,Encerrado,"Aquisição de medicamento excepcional para o paciente Waldemar Divino de Freitas, conforme determinação de Ação Civil Pública nº 0005860-83.2018.8.13.0528.",,,,,
225/2018,DISPENSA DE LICITAÇÃO,105,22-11-2018 08:30,,23-11-2018,Encerrado,"Aquisição de insumos para diabetes para o paciente José Rodrigues Nobre, conforme determinação de Ação Civil Pública nº 0005393-75.2016.8.13.0528.",,,,,
224/2018,DISPENSA DE LICITAÇÃO,104,20-11-2018 15:30,,21-11-2018,Encerrado,Contratação de empresa prestadora de serviços médico-hospitalares para realização de procedimento de aplicação intra-ocular (uma ampola no olho direito) do medicamento ,,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 2 de, 14,,,
,,,,,,,"Lucentis (medicamento incluso) para a paciente Zalda Olinda de Souza, conforme determinação de Ação Civil Pública nº 0028114-21.2016.8.13.0528.",,,,,
223/2018,DISPENSA DE LICITAÇÃO,103,20-11-2018 13:00,,21-11-2018,Encerrado,"Contratação de empresa prestadora de serviços médico-hospitalares para realização de procedimento de aplicação intra-ocular (em olho direito) do medicamento Lucentis (medicamento incluso) para o paciente Antonio Raimundo Nunes da Silveira, conforme determinação de Ação Civil Pública nº 0015739-51.2017.8.13.0528. ",,,,,
218/2018,PREGÃO PRESENCIAL,62,20-11-2018 08:30,,06-11-2018,Encerrado,"Locação de cadeiras, mesas e freezers, bem como aquisição de gêneros alimentícios e outros materiais para preparação de lanches, a serem distribuídos no evento ""Natal das Crianças Carentes"", no período de 26/11/2018 a 29/11/2018 nos Distritos do município e finalizando no dia 15/12/2018, das 15:00 horas às 18:00 horas, na Praça XV de Novembro, Bairro Centro, Prata-MG, a ser promovido pela Secretaria de Ação Social, Trabalho e Promoção Humana.",,,,,
217/2018,PREGÃO PRESENCIAL,61,19-11-2018 08:30,,05-11-2018,Encerrado,"Aquisição de brinquedos a serem distribuídos no evento ""Natal das Crianças Carentes"", no dia 15/12/2018, das 15:00 horas às 18:00 horas, na Praça XV de Novembro, Bairro Centro, Prata-MG, a ser promovido pela Secretaria de Ação Social, Trabalho e Promoção Humana.",,,,,
209/2018,TOMADA DE PREÇOS,5,13-11-2018 08:30,,29-10-2018,Encerrado,"Contratação de empresa especializada para obras/serviços de engenharia para a construção de muro de arrimo para extensão da sala que será utilizada como sala arquivo, na Prefeitura Municipal de Prata-MG, localizada na Praça XV de Novembro, nº 35, Bairro Centro, na cidade de Prata-MG.",,,,,
210/2018,PREGÃO PRESENCIAL,60,09-11-2018 08:30,,29-10-2018,Encerrado,"Aquisição de equipamento/material permanente, para as Unidades de Saúde: UBSF Bela Vista, UBSF Cruzeiro do Sul, UBSF Esperança, UBSF Jardim Brasil e UBSF Primavera, conforme recurso referente a proposta nº 14179.123000/1150-03, Portaria nº 202 de 15 de fevereiro de 2016.",,,,,
182/2018,PREGÃO PRESENCIAL,55,01-11-2018 08:30,,20-09-2018,Encerrado,"Contratação de empresa especializada para fornecimento de bomba de esgoto submersa para líquidos com sólidos em suspensão, para atender as demandas da Estação de Tratamento de Esgoto - ETE, da Prefeitura Municipal de Prata-MG.",,,,,
216/2018,DISPENSA DE LICITAÇÃO,102,31-10-2018 15:00,,01-11-2018,Encerrado,"Aquisição de suplemento alimentar para a paciente Camille Bianca Eulálio Souza, conforme determinação de Ação Civil Pública nº 0030869-23.2013.8.13.0528.",,,,,
215/2018,DISPENSA DE LICITAÇÃO,101,31-10-2018 14:00,,01-11-2018,Encerrado,"Aquisição de suplemento alimentar para o paciente Estevão Raimundo dos Santos, conforme determinação de Ação Civil Pública nº 0019889-75.2017.8.13.0528.",,,,,
211/2018,DISPENSA DE LICITAÇÃO,97,31-10-2018 13:00,,01-11-2018,Encerrado,"Contratação de empresa especializada para prestação de serviços de engenharia para execução de perfuração de poço artesiano, com fornecimento de bomba submersa, no Distrito de Jardinésia no Município de Prata-MG, no município de Prata-MG.",,,,,
213/2018,DISPENSA DE LICITAÇÃO,99,31-10-2018 10:30,,01-11-2018,Encerrado,"Contratação de empresa especializada na área de diagnóstico por imagem  para prestação de serviços de proteção radiológica em radiologia, incluindo: Controle de qualidade de imagem do conjunto radiológico fixo modelo altus da marca SAWAE, controle de qualidade dos acessórios de PB, levantamento radiométrico, teste de radiação de fuga e modelo de plano de radioproteção do PAM - Pronto Atendimento Municipal.",,,,,
212/2018,DISPENSA DE LICITAÇÃO,98,31-10-2018 10:00,,01-11-2018,Encerrado,"Contratação de empresa prestadora de serviços médico-hospitalares para realização de procedimento cirúrgico - Retirada de Óleo de Silicone Intra Vítrea em OE - aplicado anteriormente em cirurgia prévia de Facectomia, incluso também a Internação Hospitalar, a Anestesia Endovenosa Bloco Regional e todos os materiais e serviços necessários à realização da cirurgia, para o paciente Antônio Raimundo Nunes da Silveira, conforme determinação de Ação Civil Pública nº 0004830-13.2018.8.13.0528.",,,,,
205/2018,PREGÃO PRESENCIAL,59,31-10-2018 08:30,,19-10-2018,Encerrado,"Contratação de empresa para realização do evento destinado a comemoração das festividades do ""145º Aniversário de Prata"", que será realizado no dia 14 de Novembro de 2018, na Praça XV de Novembro, Centro, Prata-MG.",,,,,
214/2018,DISPENSA DE LICITAÇÃO,100,30-10-2018 13:00,,01-11-2018,Encerrado,"Aquisição de protetor solar para Rogéria Novaes Teodoro, conforme Ação Civil Pública nº 0013277-29.2014.8.13.0528.",,,,,
202/2018,PREGÃO - REGISTRO DE PREÇO,31,30-10-2018 08:30,,10-10-2018,Encerrado,"Registro de Preços para futura e eventual aquisição de equipamentos de proteção individual (EPI's), para manutenção das diversas Secretarias da Prefeitura Municipal de Prata-MG.",,,,,
192/2018,CONCORRENCIA PÚBLICA,2,29-10-2018 08:30,,28-09-2018,Fracassado,"Contratação de empresa especializada para execução de obra de engenharia, visando à construção de Creche Escolar do Programa Pró-Infância, Tipo 01, situada à Rua Manoel Nunes, nº 30, Bairro Rodoviário, conforme Termo de Compromisso PAC2 - 4052/2013, celebrado entre o Fundo Nacional de Desenvolvimento da Educação - FNDE e o Município de Prata/MG.",,,,,
208/2018,DISPENSA DE LICITAÇÃO,96,26-10-2018 13:00,,29-10-2018,Encerrado,"Contratação de empresa especializada em serviço médico hospitalar para realização de procedimento de oxigenoterapia hiperbárica (25 sessões) para a paciente Maria Luzimar Vieira de Souza, conforme determinação de Ação Civil Pública nº 0017030-52.2018.8.13.0528.",,,,,
201/2018,PREGÃO PRESENCIAL,58,25-10-2018 08:30,,09-10-2018,Encerrado,"Aquisição de equipamentos odontológicos para as equipes de Saúde Bucal da Atenção Básica, conforme Proposta nº 3152801712201256739, Portaria nº 3.672, de 22 de Dezembro de 2017 e Proposta nº 3152801712271100317, Portaria nº 4.014, de 29 de Dezembro de 2017.",,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 3 de, 14,,,
200/2018,TOMADA DE PREÇOS,4,24-10-2018 08:30,,08-10-2018,Em Andamento,"Contratação de empresa especializada na área de engenharia para elaboração de projetos e execução de obras de extensão de redes, com adequação da extensão de distribuição urbana com instalação de sistema de iluminação pública, conforme projeto elaborado e memorial descritivo, com fornecimento de mão-de-obra e materiais, em diversos logradouros do Município de Prata-MG.",,,,,
207/2018,DISPENSA DE LICITAÇÃO,95,22-10-2018 16:00,,23-10-2018,Encerrado,"Aquisição de medicamento excepcional para a paciente Maria Sebastiana Vilela Gomes, conforme determinação de Ação Civil Pública nº 0016186-10.2015.8.13.0528.",,,,,
206/2018,DISPENSA DE LICITAÇÃO,94,22-10-2018 10:00,,23-10-2018,Encerrado,"Aquisição de suplemento alimentar para o paciente Paulo Henrique dos Santos, conforme determinação de Ação Civil Pública nº 0029807-40.2016.8.13.0528.",,,,,
195/2018,PREGÃO - REGISTRO DE PREÇO,28,22-10-2018 08:30,,04-10-2018,Encerrado,Registro de Preços para futura e eventual aquisição de materiais esportivos para atender as necessidades do Centro de Esporte e Lazer - CEL e das Praças de Esportes do Município.,,,,,
194/2018,PREGÃO PRESENCIAL,57,18-10-2018 08:30,,03-10-2018,Encerrado,Aquisição de cadernos escolares para distribuição a alunos do Ensino Fundamental e do Ensino Infantil das Escolas da Rede Municipal.,,,,,
204/2018,DISPENSA DE LICITAÇÃO,93,17-10-2018 09:00,,18-10-2018,Encerrado,"Aquisição de medicamento excepcional para o paciente Waldemar Divino de Freitas, conforme determinação de Ação Civil Pública nº 0005860-83.2018.8.13.0528.",,,,,
203/2018,DISPENSA DE LICITAÇÃO,92,15-10-2018 10:00,,16-10-2018,Encerrado,"Aquisição de suplemento alimentar para a paciente Dinorá Aparecida Paula, conforme determinação de Ação Civil Pública nº 0019994-18.2018.8.13.0528.",,,,,
193/2018,PREGÃO PRESENCIAL,56,15-10-2018 08:30,,02-10-2018,Encerrado,"Aquisição de equipamento/material permanente, para as Unidades de Saúde: UBSF Bela Vista, UBSF Cruzeiro do Sul, UBSF Esperança, UBSF Jardim Brasil e UBSF Primavera, conforme recurso referente a proposta nº 14179.123000/1150-03, Portaria nº 202 de 15 de fevereiro de 2015.",,,,,
199/2018,PREGÃO - REGISTRO DE PREÇO,30,08-10-2018 12:30,,08-10-2018,Encerrado,"Adesão mediante ""CARONA"" à Ata de Registro de Preços do Pregão Eletrônico nº 77/2018 SEPLAG - Secretaria de Estado de Planejamento e Gestão, para aquisição de Compra Estadual de Medicamentos - Componente Básico da Assistência Farmacêutica - Ata 199/2018. 7º Ciclo de Abastecimento 2018.",,,,,
198/2018,PREGÃO - REGISTRO DE PREÇO,29,08-10-2018 08:30,,08-10-2018,Encerrado,"Adesão mediante ""CARONA"" à Ata de Registro de Preços do Pregão Eletrônico nº 440/2017 SEPLAG - Secretaria de Estado de Planejamento e Gestão, para aquisição de Compra Estadual de Medicamentos - Componente Básico da Assistência Farmacêutica - Ata 74/2018. 7º Ciclo de Abastecimento 2018.",,,,,
197/2018,DISPENSA DE LICITAÇÃO,91,04-10-2018 10:00,,05-10-2018,Encerrado,"Contratação de empresa prestadora de serviço médico para realização de procedimento de aplicação intra-ocular (em olho direito) do medicamento Lucentis (medicamento não incluso) para a paciente Aurora Barbosa Ferreira, conforme determinação de Ação Civil Pública nº 0005894-58.2018.8.13.0528",,,,,
196/2018,DISPENSA DE LICITAÇÃO,90,04-10-2018 08:30,,05-10-2018,Encerrado,"Aquisição de suplemento alimentar para a paciente Maria Beatriz de Castro Miranda, conforme determinação de Ação Civil Pública nº 0008386-96.2013.8.13.0528.",,,,,
175/2018,PREGÃO PRESENCIAL,53,28-09-2018 08:30,,05-09-2018,Encerrado,"Aquisição de mobiliário em geral, eletroeletrônico, eletrodomésticos e playground (com participação exclusiva para microempresa e empresa de pequeno porte), para as diversas Secretarias da Prefeitura Municipal de Prata-MG.",,,,,
191/2018,DISPENSA DE LICITAÇÃO,89,27-09-2018 16:30,,28-09-2018,Encerrado,"Aquisição de sonda aspiração traqueal para a paciente Camille Bianca Eulálio Souza, conforme determinação de Ação Civil Pública nº 0011446-43.2014.8.13.0528.",,,,,
190/2018,DISPENSA DE LICITAÇÃO,88,27-09-2018 15:30,,28-09-2018,Encerrado,"Contratação de empresa prestadora de serviço médico para realização de procedimento de aplicação intra-ocular (em ambos olhos) do medicamento Lucentis (medicamento incluso), para a paciente Maria Abadia Pereira de Souza, conforme determinação de Ação Civil Pública nº 0000400-52.2017.8.13.0528.",,,,,
189/2018,DISPENSA DE LICITAÇÃO,87,27-09-2018 13:30,,28-09-2018,Encerrado,"Contratação de empresa prestadora de serviço médico para realização de procedimento de aplicação intra-ocular (em ambos olhos) do medicamento Lucentis (medicamento incluso) para a paciente Maria de Fátima Alves Brandão, conforme determinação de Ação Civil Pública nº 0000392-75.2017.8.13.0528.",,,,,
188/2018,DISPENSA DE LICITAÇÃO,86,27-09-2018 10:00,,28-09-2018,Encerrado,"Contratação de empresa prestadora de serviço médico para realização de procedimento de aplicação intra-ocular (em ambos olhos) do medicamento Lucentis (medicamento incluso) para o paciente Valmir Aparecido Bento da Silva, conforme determinação de Ação Civil Pública nº 0000382-94.2018.8.13.0528.",,,,,
