,N° Processo,N° Contrato,Modalidade,Tipo,Data do Aditivo,Abertura,Objeto,Valor,Datas,Situação,Editais de Licitação e Demais Arquivos,
106, 000047/2019 / B," 0224/2019 / ADITIVO
 0225/2019 / ADITIVO
",Pregão,Menor Preço,13/08/2021,08/08/2019,"PRESTACAO DE SERVICOS DE LAVAGEM NOS VEICULOS LEVES E PESADOS, PERTENCENTE A FROTA MUNICIPAL.",77000,"Edital: 24/07/2019
Homologação: 14/08/2019
Julgamento: 08/08/2019
Adjudicação: 08/08/2019
Data de publicação: 25/07/2019
Prazo de Execução: 12 Meses
",Finalizado,,
107, 000043/2019 / B," 0213/2019 / ADITIVO
",Pregão,Menor Preço,15/07/2021,26/07/2019,"CONTRATACAO DE UMA EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICOS DE SUPORTE TECNICO E CONSERTOS NOS EQUIPAMENTOS DE INFORMATICA, CABEAMENTO DE REDE LOGICA, INCLUINDO SERVIDORES, COMPUTADORES, IMPRESSORAS, MONITORES DE VIDEO, SWITCHES DE COMUNICACAO, ROTEADORES, ESTABILIZADORES, NO-BREAKS, RACKS DE COMUNICACAO E REDE DE INTERNET.",27000,"Edital: 15/07/2019
Homologação: 01/08/2019
Julgamento: 26/07/2019
Adjudicação: 26/07/2019
Data de publicação: 16/07/2019
Prazo de Execução: 12 Meses
",Finalizado,,
108, 000012/2019 / B," 0129/2019 / ADITIVO
",Pregão,Menor Preço,01/04/2021,29/03/2019,CONTRATACAO DE SERVICO DE MAO DE OBRA ESPECIALIZADA EM SERVICOS ELETRICOS NOS PREDIOS PUBLICOS NO MUNICIPIO DE CAREACU-MG.,45000,"Edital: 18/03/2019
Homologação: 04/04/2019
Julgamento: 29/03/2019
Adjudicação: 29/03/2019
Data de publicação: 19/03/2019
Prazo de Execução: 12 Meses
",Finalizado,,
109, 000006/2019 / B," 0083/2019 / ADITIVO
",Pregão,Menor Preço,12/02/2021,07/02/2019,CONTRATACAO DE EMPRESA ESPECIALIZADA NA LOCACAO DE CONCENTRADORES DE OXIGENIO PARA O ATENDIMENTO AO SETOR DE SAUDE E ASSISTENCIA SOCIAL DESTE MUNICIPIO.,115000,"Edital: 23/01/2019
Homologação: 13/02/2019
Julgamento: 07/02/2019
Adjudicação: 07/02/2019
Data de publicação: 24/01/2019
Prazo de Execução: 12 Meses
",Finalizado,,
110, 000073/2018 / C," 0291/2018 / ADITIVO
 0290/2018 / ADITIVO
 0289/2018 / ADITIVO
",Pregão,Menor Preço,10/12/2021,05/12/2018,"CONTRATACAO DE EMPRESA ESPECIALIZADA NA LOCACAO DE PALCO, SOM, ILUMINACAO, PROTECAO (GRADIL DE FERRO), TABLADO, FECHAMENTO, BANHEIROS QUIMICOS, TENDAS, GERADORES, BEM COMO NA PRESTACAO DE SERVICO DE APOIO PARA REALIZACAO DOS EVENTOS TRADICIONAIS DO MUNICIPIO DE CAREACU/MG.",485835,"Edital: 21/11/2018
Homologação: 11/12/2018
Julgamento: 05/12/2018
Adjudicação: 05/12/2018
Data de publicação: 22/11/2018
Prazo de Execução: 12 Meses
",Finalizado,,
111, 000065/2018 / C," 0273/2018 / ADITIVO
",Dispensa,Menor Preço,01/10/2021,04/10/2018,LOCACAO DO IMOVEL SOMENTE PARA A INSTALACAO DE UM ABRIGO DE PROTECAO PARA OS ANIMAIS (CAES).,16800,"Homologação: 04/10/2018
Julgamento: 04/10/2018
Adjudicação: 04/10/2018
",Finalizado,,
112, 000046/2018 / C," 0235/2018 / ADITIVO
 0236/2018 / ADITIVO
",Pregão,Menor Preço,30/07/2021,24/07/2018,"CONTRATACAO DE SERVICOS ELETRICOS PARA A MANUTENCAO DE VEICULOS PESADOS (CAMINHOES E ONIBUS), MAQUINAS E VEICULOS E LEVES, PERTENCENTE A FROTA MUNICIPAL.",512000,"Edital: 10/07/2018
Homologação: 30/07/2018
Julgamento: 24/07/2018
Adjudicação: 24/07/2018
Data de publicação: 12/07/2018
Prazo de Execução: 12 Meses
",Finalizado,,
113, 000044/2018 / C," 0227/2018 / ADITIVO
",Pregão,Menor Preço,09/07/2021,09/07/2018,"CONTRATACAO DE EMPRESA PARA PRESTACAO DE SERVICOS DE PUBLICACAO E VEICULACAO DE ATOS OFICIAIS EM JORNAL DE CIRCULACAO DIARIA REGIONAL, EM ATENDIMENTO A SECRETARIA DE ADMINISTRACAO DO MUNICIPIO DE CAREACU-MG.",85200,"Edital: 25/06/2018
Homologação: 13/07/2018
Julgamento: 09/07/2018
Adjudicação: 09/07/2018
Data de publicação: 25/06/2018
Prazo de Execução: 12 Meses
",Finalizado,,
114, 000033/2018 / E," 0180/2018 / ADITIVO
",Dispensa,Menor Preço,11/01/2021,16/05/2018,LOCACAO DO IMOVEL PARA A INSTALACAO DAS DEPENDENCIAS DO PAÇO MUNICIPAL.,2607.74,"Homologação: 16/05/2018
Julgamento: 16/05/2018
Adjudicação: 16/05/2018
",Finalizado,,
115, 000024/2018 / C," 0134/2018 / ADITIVO
",Dispensa,Menor Preço,01/04/2021,06/04/2018,LOCACAO DO IMOVEL PARA A INSTALACAO DA CLINICA DE FISIOTERAPIA MUNICIPAL.,14400,"Homologação: 06/04/2018
Julgamento: 06/04/2018
Adjudicação: 06/04/2018
",Finalizado,,
116, 000060/2017 / D," 0256/2017 / ADITIVO
",Pregão,Menor Preço,12/11/2021,07/11/2017,"CONTRATACAO DE EMPRESA ESPECIALIZADA, PARA PRESTACAO DE SERVICOS DE FUNILARIA, PINTURA EM GERAL EM VEICULOS, COM FORNECIMENTO DOS MATERIAIS E MAO DE OBRA NECESSARIA ESPECIALIZADA, PARA A EXECUCAO DOS SERVICOS NOS VEICULOS PERTENCENTE A FROTA MUNICIPAL.",49200,"Edital: 18/10/2017
Homologação: 13/11/2017
Julgamento: 07/11/2017
Adjudicação: 07/11/2017
Data de publicação: 19/10/2017
Prazo de Execução: 12 Meses
",Finalizado,,
117, 000055/2017 / D," 0240/2017 / ADITIVO
",Pregão,Menor Preço,01/10/2021,26/09/2017,CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS COM UM TRATOR DE ESTEIRA AD7B PARA O ATENDIMENTO A VÁRIOS SETORES DA ADMINISTRAÇÃO MUNICIPAL.,156000,"Edital: 11/09/2017
Homologação: 02/10/2017
Julgamento: 26/09/2017
Adjudicação: 26/09/2017
Data de publicação: 12/09/2017
Prazo de Execução: 12 Meses
",Finalizado,,
118, 000049/2017 / D," 0224/2017 / ADITIVO
 0225/2017 / ADITIVO
 0226/2017 / ADITIVO
",Pregão,Menor Preço,06/08/2021,04/08/2017,"CONTRATACAO DE EMPRESA PARA PRESTACAO DE SERVICOS DE ALINHAMENTO, BALANCEAMENTO, RECAPAGEM DE PNEUS E CAMBAGEM EM VEICULOS LEVES E PESADOS PERTENCENTE A FROTA MUNICIPAL.",499370,"Edital: 20/07/2017
Homologação: 10/08/2017
Julgamento: 04/08/2017
Adjudicação: 04/08/2017
Data de publicação: 21/07/2017
Prazo de Execução: 12 Meses
",Finalizado,,
119, 000018/2017 / D," 0142/2017 / ADITIVO
",Pregão,Menor Preço,07/04/2021,03/04/2017,"CONTRATACAO DE SERVICOS DE ACESSO AOS MEIOS DE COMUNICACAO MULTIMIDIA A REDE DE COMPUTADORES. ATRAVES DE PROTOCOLO TCP/IP, OU CABO, INCLUINDO O ACESSO AOS MAIS VARIADOS BANCO DE DADOS, COM POSSIBILIDADE DE ENVIO, COPIA E GRAVACAO DE ARQUIVOS DE DISTINTAS NATUREZAS.",22800,"Edital: 20/03/2017
Homologação: 07/04/2017
Julgamento: 03/04/2017
Adjudicação: 03/04/2017
Data de publicação: 21/03/2017
Prazo de Execução: 12 Meses
",Finalizado,,
120, 000012/2017 / D," 0123/2017 / ADITIVO
",Pregão,Menor Preço,12/03/2021,13/03/2017,"CONTRATACAO DE EMPRESA ESPECIALIZADA NO DESENVOLVIMENTO DE SOFTWARE, CONSULTORIA, ASSESSORIA E TREINAMENTO DE PESSOAL PARA A PRESTACAO DOS SERVICOS NAS AREAS DE CONTABILIDADE, ADMINISTRACAO, GESTAO, ARRECADACAO DE TRIBUTOS, CONTROLE INTERNO, LICITACOES, COMPRAS, ALMOXARIFADO, CONTROLE DE FROTAS, APOIO TECNICO, IMPLANTACAO DE NORMAS DE CONVERGENCIAS AO NOVO PLANO DE CONTAS CONTABIL, APLICADO AO SETOR PUBLICO, PARA ATENDER AS NECESSIDADES ADMINISTRATIVAS DO MUNICIPIO DE CAREACU-MG, MEDIANTE ESPECIFICACOES DO EDITAL E SEUS ANEXOS, CONFORME O TERMO DE REFERENCIA",136800,"Edital: 21/02/2017
Homologação: 16/03/2017
Julgamento: 13/03/2017
Adjudicação: 13/03/2017
Data de publicação: 21/02/2017
Prazo de Execução: 12 Meses
",Finalizado,,
121, 000011/2017 / D," 0122/2017 / ADITIVO
",Pregão,Menor Preço,12/03/2021,10/03/2017,CONTRATACAO DE EMPRESA PARA A PRESTACAO DE ASSESSORIA NA CAPTACAO DE RECURSOS E NO ACOMPANHAMENTO DE TODOS OS PROGRAMAS RELACIONADOS A SECRETARIA MUNICIPAL DE EDUCACAO,18000,"Edital: 20/02/2017
Homologação: 16/03/2017
Julgamento: 10/03/2017
Adjudicação: 10/03/2017
Data de publicação: 20/02/2017
Prazo de Execução: 12 Meses
",Finalizado,,
122, 000004/2017 / E," 0080/2017 / ADITIVO
",Pregão,Menor Preço,12/02/2021,09/02/2017,CONTRATACAO DE EMPRESA PARA DESTINACAO FINAL DOS RESIDUOS SOLIDOS DOMICILIARES PROVENIENTES DA LIMPEZA PUBLICA DO MUNICIPIO DE CAREACU-MG,134330.4,"Edital: 26/01/2017
Homologação: 15/02/2017
Julgamento: 09/02/2017
Adjudicação: 09/02/2017
Data de publicação: 27/01/2017
Prazo de Execução: 12 Meses
",Finalizado,,
123,,,,,,,,,,,,
124,,,,,,,,,,,,
125,,,,,,,,,,,,
126,Filtro de busca:,,,,,,,,,,,
1, 000079/2018," 0296/2018
",Inexigibilidade,Menor Preço,,17/12/2018,"CONTRATAÇÃO DA BANDA UP! STAR, ATRAVÉS DA EMPRESA ALLAN LUCAS DE SOUZA AZEVEDO, PARA A REALIZAÇÃO DE SHOW , NO DIA 31 DE DEZEMBRO DE 2018, RESPECTIVAMENTE, A PARTIR DAS 23H00MIN, NAS ""FESTIVIDADES DE FIM DE ANO"".",23900,"Homologação: 19/12/2018
Julgamento: 17/12/2018
Adjudicação: 17/12/2018
",Finalizado,,
2, 000077/2018," 0297/2018
 0298/2018
 0299/2018
 0303/2018
 0302/2018
 0300/2018
 0301/2018
",Pregão,Menor Preço,,14/12/2018,AQUISICAO DE EQUIPAMENTOS PARA OS DIVERSOS SETORES DA PREFEITURA MUNICIPAL.,30409.8,"Edital: 29/11/2018
Homologação: 20/12/2018
Julgamento: 14/12/2018
Adjudicação: 14/12/2018
Data de publicação: 30/11/2018
Prazo de Execução: 12 Meses
",Finalizado,,
3, 000076/2018," 0285/2018
",Dispensa,Menor Preço,,03/12/2018,"CONTRATACAO DE EMPRESA ESPECIALIZADA, PARA PRESTACAO DE SERVICOS DE FECHAMENTO EM ALAMBRADO E COLOCACAO DE PORTOES EM TORNO DA QUADRA DE ESPORTES, NO POLIESPORTIVO MUNICIPAL COM O FORNECIMENTO DOS MATERIAIS E MAO DE OBRA NECESSARIA ESPECIALIZADA, PARA A EXECUCAO DOS SERVICOS MENCIONADOS, CONFORME ESPECIFICACOES A SEGUIR:",7000,"Homologação: 03/12/2018
Julgamento: 03/12/2018
Adjudicação: 03/12/2018
",Finalizado,,
4, 000075/2018," 0295/2018
 0294/2018
",Pregão,Menor Preço,,11/12/2018,AQUISICAO DE EQUIPAMENTOS HOSPITALARES PARA O SETOR DE SAUDE MUNICIPAL.,21450,"Edital: 26/11/2018
Homologação: 17/12/2018
Julgamento: 11/12/2018
Adjudicação: 11/12/2018
Data de publicação: 27/11/2018
Prazo de Execução: 12 Meses
",Finalizado,,
5, 000074/2018," 0293/2018
 0292/2018
",Pregão,Menor Preço,,07/12/2018,"CONTRATACAO DE EMPRESA PARA O FORNECIMENTO DE LEITE UHT SEMI DESNATADO, LEITE A BASE DE SOJA E LEITE EM PO PARA ATENDER AS NECESSIDADES DAS SECRETARIAS DE SAUDE, EDUCACAO E ASSISTENCIA SOCIAL DO MUNICIPIO DE CAREACU-MG.",97338,"Edital: 22/11/2018
Homologação: 13/12/2018
Julgamento: 07/12/2018
Adjudicação: 07/12/2018
Data de publicação: 23/11/2018
Prazo de Execução: 12 Meses
",Finalizado,,
6, 000074/2018 / A," 0293/2018 / ADITIVO
",Pregão,Menor Preço,09/09/2019,07/12/2018,"CONTRATACAO DE EMPRESA PARA O FORNECIMENTO DE LEITE UHT SEMI DESNATADO, LEITE A BASE DE SOJA E LEITE EM PO PARA ATENDER AS NECESSIDADES DAS SECRETARIAS DE SAUDE, EDUCACAO E ASSISTENCIA SOCIAL DO MUNICIPIO DE CAREACU-MG.",2245,"Edital: 22/11/2018
Homologação: 13/12/2018
Julgamento: 07/12/2018
Adjudicação: 07/12/2018
Data de publicação: 23/11/2018
Prazo de Execução: 12 Meses
",Finalizado,,
7, 000073/2018," 0291/2018
 0290/2018
 0289/2018
",Pregão,Menor Preço,,05/12/2018,"CONTRATACAO DE EMPRESA ESPECIALIZADA NA LOCACAO DE PALCO, SOM, ILUMINACAO, PROTECAO (GRADIL DE FERRO), TABLADO, FECHAMENTO, BANHEIROS QUIMICOS, TENDAS, GERADORES, BEM COMO NA PRESTACAO DE SERVICO DE APOIO PARA REALIZACAO DOS EVENTOS TRADICIONAIS DO MUNICIPIO DE CAREACU/MG.",485835,"Edital: 21/11/2018
Homologação: 11/12/2018
Julgamento: 05/12/2018
Adjudicação: 05/12/2018
Data de publicação: 22/11/2018
Prazo de Execução: 12 Meses
",Finalizado,,
8, 000073/2018 / A," 0291/2018 / ADITIVO
 0290/2018 / ADITIVO
 0289/2018 / ADITIVO
",Pregão,Menor Preço,11/12/2019,05/12/2018,"CONTRATACAO DE EMPRESA ESPECIALIZADA NA LOCACAO DE PALCO, SOM, ILUMINACAO, PROTECAO (GRADIL DE FERRO), TABLADO, FECHAMENTO, BANHEIROS QUIMICOS, TENDAS, GERADORES, BEM COMO NA PRESTACAO DE SERVICO DE APOIO PARA REALIZACAO DOS EVENTOS TRADICIONAIS DO MUNICIPIO DE CAREACU/MG.",485835,"Edital: 21/11/2018
Homologação: 11/12/2018
Julgamento: 05/12/2018
Adjudicação: 05/12/2018
Data de publicação: 22/11/2018
Prazo de Execução: 12 Meses
",Finalizado,,
9, 000073/2018 / B," 0291/2018 / ADITIVO
 0290/2018 / ADITIVO
 0289/2018 / ADITIVO
",Pregão,Menor Preço,11/12/2020,05/12/2018,"CONTRATACAO DE EMPRESA ESPECIALIZADA NA LOCACAO DE PALCO, SOM, ILUMINACAO, PROTECAO (GRADIL DE FERRO), TABLADO, FECHAMENTO, BANHEIROS QUIMICOS, TENDAS, GERADORES, BEM COMO NA PRESTACAO DE SERVICO DE APOIO PARA REALIZACAO DOS EVENTOS TRADICIONAIS DO MUNICIPIO DE CAREACU/MG.",485835,"Edital: 21/11/2018
Homologação: 11/12/2018
Julgamento: 05/12/2018
Adjudicação: 05/12/2018
Data de publicação: 22/11/2018
Prazo de Execução: 12 Meses
",Finalizado,,
10, 000073/2018 / C," 0291/2018 / ADITIVO
 0290/2018 / ADITIVO
 0289/2018 / ADITIVO
",Pregão,Menor Preço,10/12/2021,05/12/2018,"CONTRATACAO DE EMPRESA ESPECIALIZADA NA LOCACAO DE PALCO, SOM, ILUMINACAO, PROTECAO (GRADIL DE FERRO), TABLADO, FECHAMENTO, BANHEIROS QUIMICOS, TENDAS, GERADORES, BEM COMO NA PRESTACAO DE SERVICO DE APOIO PARA REALIZACAO DOS EVENTOS TRADICIONAIS DO MUNICIPIO DE CAREACU/MG.",485835,"Edital: 21/11/2018
Homologação: 11/12/2018
Julgamento: 05/12/2018
Adjudicação: 05/12/2018
Data de publicação: 22/11/2018
Prazo de Execução: 12 Meses
",Finalizado,,
11, 000072/2018," 0287/2018
",Pregão,Menor Preço,,29/11/2018,"AQUISICAO DE 01 (UM) VEICULO AMBULANCIA O (ZERO) KM, PARA ATENDIMENTO AO SETOR DE SAUDE MUNICIPAL.",83000,"Edital: 12/11/2018
Homologação: 05/12/2018
Julgamento: 29/11/2018
Adjudicação: 04/12/2018
Data de publicação: 12/11/2018
Prazo de Execução: 12 Meses
",Finalizado,,
12, 000071/2018," 0281/2018
",Dispensa,Menor Preço,,08/11/2018,CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE QUEIJO MEIA CURA PADRAO.,12250,"Homologação: 08/11/2018
Julgamento: 08/11/2018
Adjudicação: 08/11/2018
",Finalizado,,
13, 000070/2018," 0280/2018
",Dispensa,Menor Preço,,06/11/2018,"CONTRATACAO DE EMPRESA PARA EXECUCAO DE SERVICO TECNICO ESPECIALIZADO EM SAUDE E SEGURANCA DO TRABALHO PARA LEVANTAMENTO DOS RISCOS AMBIENTAIS E ELABORACAO DE PPRA (PROGRAMA DE PREVENCAO DE RISCOS AMBIENTAIS), LTCAT (LAUDO TECNICO DAS CONDICOES AMBIENTAIS DO TRABALHO), PCMSO (PROGRAMA DE CONTROLE MEDICO E SAUDE OCUPACIONAL) E IMPLANTACAO E MANUTENCAO DOS REFERIDOS PROGRAMAS A FIM DE ATENDER A LEGISLACAO VIGENTE E OS EVENTOS OBRIGATORIOS DO ESOCIAL.",16200,"Homologação: 06/11/2018
Julgamento: 06/11/2018
Adjudicação: 06/11/2018
",Finalizado,,
14, 000069/2018," 0284/2018
 0283/2018
",Pregão,Menor Preço,,13/11/2018,AQUISICAO DE MATERIAIS ESPORTIVOS PARA A MANUTENCAO DO SETOR DE ESPORTES E O CRAS (CENTRO DE REFERENCIA A ASSISTENCIA SOCIAL) DESTE MUNICIPIO.,98089,"Edital: 25/10/2018
Homologação: 21/11/2018
Julgamento: 13/11/2018
Adjudicação: 13/11/2018
Data de publicação: 26/10/2018
Prazo de Execução: 12 Meses
",Finalizado,,
15, 000068/2018," 0282/2018
",Pregão,Menor Preço,,09/11/2018,"CONTRATACAO DE EMPRESA PARA O FORNECIMENTO DE RACAO PARA CAES, PARA ATENDIMENTO AO ABRIGO DA PREFEITURA MUNICIPAL.",19800,"Edital: 23/10/2018
Homologação: 19/11/2018
Julgamento: 09/11/2018
Adjudicação: 09/11/2018
Data de publicação: 24/10/2018
Prazo de Execução: 12 Meses
",Finalizado,,
16, 000065/2018," 0273/2018
",Dispensa,Menor Preço,,04/10/2018,LOCACAO DO IMOVEL SOMENTE PARA A INSTALACAO DE UM ABRIGO DE PROTECAO PARA OS ANIMAIS (CAES).,11448,"Homologação: 04/10/2018
Julgamento: 04/10/2018
Adjudicação: 04/10/2018
",Finalizado,,
17, 000065/2018 / A," 0273/2018 / ADITIVO
",Dispensa,Menor Preço,04/10/2019,04/10/2018,LOCACAO DO IMOVEL SOMENTE PARA A INSTALACAO DE UM ABRIGO DE PROTECAO PARA OS ANIMAIS (CAES).,12000,"Homologação: 04/10/2018
Julgamento: 04/10/2018
Adjudicação: 04/10/2018
",Finalizado,,
18, 000065/2018 / B," 0273/2018 / ADITIVO
",Dispensa,Menor Preço,02/10/2020,04/10/2018,LOCACAO DO IMOVEL SOMENTE PARA A INSTALACAO DE UM ABRIGO DE PROTECAO PARA OS ANIMAIS (CAES).,12000,"Homologação: 04/10/2018
Julgamento: 04/10/2018
Adjudicação: 04/10/2018
",Finalizado,,
19, 000065/2018 / C," 0273/2018 / ADITIVO
",Dispensa,Menor Preço,01/10/2021,04/10/2018,LOCACAO DO IMOVEL SOMENTE PARA A INSTALACAO DE UM ABRIGO DE PROTECAO PARA OS ANIMAIS (CAES).,16800,"Homologação: 04/10/2018
Julgamento: 04/10/2018
Adjudicação: 04/10/2018
",Finalizado,,
20, 000064/2018," 0270/2018
",Dispensa,Menor Preço,,01/10/2018,"CONTRATACAO DE UMA EMPRESA PARA A PRESTACAO DOS SEGUINTES SERVICOS NO BAIRRO DOS FORTES, PEDRA PRETA E DEMAIS: PESQUISA GEOFISICA PELO METODO DE ELETRORRESISTIVIDADE. MOBILIZACAO E DESMOBILIZACAO ATÉ O LOCAL DA PESQUISA DA EQUIPE TECNICA E DOS EQUIPAMENTOS PARA ELETRORRESISTIVIDADE (IE). PESQUISA GEOELETRICA ATRAVES DA TECNICA DE IMAGEAMENTO ELETRICO MULTIELETRODOS. PERFIS, REALIZADOS DE ACORDO COM AS ESPECIFICACOES TECNICAS. PONTOS INFORMADOS VIAVEIS PARA PERFURAR: TODOS QUE FOREM ENCONTRADOS. VIABILIDADE DE SE REALIZAR EM AMBIENTE ASFALTADO OU COM SOLO RESISTENTE: PARA CADA ELETRODO SERA FEITO UM MICROFURO COM FURADEIRA PROFISSIONAL. ELABORACAO DE RELATORIO TECNICO CONCLUSIVO.",15000,"Homologação: 01/10/2018
Julgamento: 01/10/2018
Adjudicação: 01/10/2018
",Finalizado,,
21, 000063/2018," 0269/2018
",Dispensa,Menor Preço,,26/09/2018,CONTRATACAOO DE EMPRESA PARA A PRESTACAO DOS SEGUINTES SERVICOS: * LEVANTAMENTO PLANIALTIMETRICO DA ESTRADA MUNICIPAL NO DISTRITO DA PENHA PARA ELABORACAO DAS MALHAS DE CURVAS DE NIVEIS. * LEVANTAMENTO PLANIALTIMETRICO DA ESTRADA MUNICIPAL NO DISTRITO CORREGO FUNDO PARA ELABORACAO DAS MALHAS DE CURVAS DE NIVEIS. * LEVANTAMENTO TOPOGRAFICO AREA DE EXPANSAO CEMITERIO MUNICIPAL. * LEVANTAMENTO TOPOGRAFICO AREA DE EXPANSAO PERIMETRO URBANO DO MUNICIPIO. * LEVANTAMENTO PLANIALTIMETRICO CADASTRAL AVENIDA FERNAO DIAS. * LEVANTAMENTO PLANIALTIMETRICO CADASTRAL RUA PREFEITO ANTONIO RIBEIRO NETO. * LEVANTAMENTO PLANIALTIMETRICO CADASTRAL E ESTAQUEAMENTO DO PROLONGAMENTO DA RUA PREFEITO ANTONIO RIBEIRO NETO.,13400,"Homologação: 27/09/2018
Julgamento: 26/09/2018
Adjudicação: 26/09/2018
",Finalizado,,
22, 000062/2018," 0276/2018
",Pregão,Menor Preço,,09/10/2018,"AQUISICAO DE 01(UM) VEICULO 0 (ZERO) KM, PARA ATENDIMENTO AO GABINETE DO PREFEITO MUNICIPAL.",107499,"Edital: 24/09/2018
Homologação: 16/10/2018
Julgamento: 09/10/2018
Adjudicação: 09/10/2018
Data de publicação: 25/09/2018
Prazo de Execução: 12 Meses
",Finalizado,,
23, 000061/2018," 0263/2018
",Dispensa,Menor Preço,,20/09/2018,CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE EQUIPE DE ARBITRAGEM PARA O CAMPEONATO DE FUTEBOL AMADOR DO MUNICIPIO DE CAREACU-MG. (JUIZ E BANDEIRINHAS).,13000,"Homologação: 20/09/2018
Julgamento: 20/09/2018
Adjudicação: 20/09/2018
",Finalizado,,
24, 000060/2018," 0274/2018
 0275/2018
",Pregão,Menor Preço,,02/10/2018,"CONTRATACAO DE EMPRESA PARA O FORNECIMENTO DE GENEROS ALIMENTICIOS E UTENSILIOS, PARA ATENDIMENTO AO CRAS (CENTRO DE REFERENCIA A ASSISTENCIA SOCIAL) DA PREFEITURA MUNICIPAL.",41943.6,"Edital: 17/09/2018
Homologação: 08/10/2018
Julgamento: 02/10/2018
Adjudicação: 02/10/2018
Data de publicação: 18/09/2018
Prazo de Execução: 12 Meses
",Finalizado,,
25, 000059/2018," 0259/2018
",Dispensa,Menor Preço,,10/09/2018,"CONTRATACAO DE EMPRESA ESPECIALIZADA EM COLETA, TRANSPORTE, TRATAMENTO E CERTIFICACAO DA DESTINACAO FINAL DE RESIDUOS DE SERVICOS DE SAUDE (RSS), GRUPO A, B E E PARA ATENDER A SECRETARIA MUNICIPAL DE SAUDE E SUAS DIVISOES NO MUNICIPIO DE CAREACU, COM OBJETIVO DE SE ADEQUAR AS NORMAS AMBIENTAIS DE ACORDO COM A RESOLUCAO DO CONAMA Nº 358 DE 29 DE ABRIL DE 2005.",9000,"Homologação: 10/09/2018
Julgamento: 10/09/2018
Adjudicação: 10/09/2018
",Finalizado,,
26, 000058/2018," 0267/2018
 0268/2018
 0266/2018
 0265/2018
",Pregão,Menor Preço,,21/09/2018,AQUISICAO DE CARTUCHO E TONER ORIGINAL OU COMPATIVEL PARA A MANUTENCAO DE VARIOS SETORES DA ADMINISTRACAO MUNICIPAL.,51130,"Edital: 05/09/2018
Homologação: 27/09/2018
Julgamento: 21/09/2018
Adjudicação: 21/09/2018
Data de publicação: 06/09/2018
Prazo de Execução: 12 Meses
",Finalizado,,
27, 000057/2018," 0262/2018
",Pregão,Menor Preço,,14/09/2018,"AQUISICAO DE RELOGIOS DE PONTO BIOMETRICO E SOFTWARE PARA TRATAMENTO DE PONTO, PARA O ATENDIMENTO DOS DIVERSOS SETORES DA ADMINISTRACAO MUNICIPAL.",14140,"Edital: 30/08/2018
Homologação: 20/09/2018
Julgamento: 14/09/2018
Adjudicação: 14/09/2018
Data de publicação: 31/08/2018
Prazo de Execução: 12 Meses
",Finalizado,,
28, 000056/2018,,Pregão,Menor Preço,,13/09/2018,"CONTRATACAO DE EMPRESA PARA PRESTACAO DE SERVICOS REFERENTES AO ICMS CULTURAL, LEVANTAMENTO E ELABORACAO DE DOCUMENTOS E TODO O TRABALHO DE INSERCAO DO MUNICIPIO DENTRO DO PROGRAMA DE MUNICIPALIZACAO DO PATRIMONIO CULTURAL DE MINAS GERAIS, PARA OBTER A PONTUACAO DETERMINADA PELO IEPHA.",12000,"Edital: 29/08/2018
Julgamento: 13/09/2018
Data de publicação: 30/08/2018
Prazo de Execução: 12 Meses
",Em andamento,,
29, 000055/2018," 0261/2018
",Pregão,Menor Preço,,12/09/2018,"CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE MEDICAMENTOS ETICOS, COM MAIOR DESCONTO (%) NA TABELA OFICIAL DA CMED/ANVISA, EM ATENDIMENTO DO SETOR DE SAUDE E DA ASSISTENCIA SOCIAL DA PREFEITURA MUNICIPAL DE CAREACU/MG.",Maior Desconto,"Edital: 27/08/2018
Homologação: 18/09/2018
Julgamento: 12/09/2018
Adjudicação: 12/09/2018
Data de publicação: 28/08/2018
Prazo de Execução: 12 Meses
",Finalizado,,
30, 000054/2018," 0260/2018
",Pregão,Menor Preço,,06/09/2018,"AQUISICAO DE PAES E BISCOITOS, PARA O ATENDIMENTO AOS SETORES DA EDUCACAO, CRAS, SAUDE E ADMINISTRACAO MUNICIPAL.",231200,"Edital: 22/08/2018
Homologação: 13/09/2018
Julgamento: 06/09/2018
Adjudicação: 06/09/2018
Data de publicação: 23/08/2018
Prazo de Execução: 12 Meses
",Finalizado,,
31, 000052/2018," 0249/2018
 0247/2018
 0248/2018
",Pregão,Menor Preço,,28/08/2018,"CONTRATACAO DE EMPRESA PARA O FORNECIMENTO DE LEITE EM PO PARA ATENDER AS NECESSIDADES DAS SECRETARIAS DE SAUDE, EDUCACAO E ASSISTENCIA SOCIAL DO MUNICIPIO DE CAREAÇU-MG.",104664.5,"Edital: 13/08/2018
Homologação: 03/09/2018
Julgamento: 28/08/2018
Adjudicação: 28/08/2018
Data de publicação: 14/08/2018
Prazo de Execução: 12 Meses
",Finalizado,,
